sifra,vrsta_dela,lokacija,neto_placilo,trajanje,delovnik,prosta_mesta
344945,STREŽBA,LITIJA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

345180,STREŽBA,TRZIN,5.50 €/h neto,PO DOGOVORU,PO DOGOVORU,2

345323,DELO V DELAVNICI,LJUBLJANA,6.00 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,

345514,STREŽBA,DOL PRI LJUBLJANI,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

345532,STREŽBA,BREZOVICA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

345800,MONTAŽA,PTUJ,6.50 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,5

346020,STREŽBA,ZIDANI MOST,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

346048,POLNJENJE POLIC,LJUBLJANA,5.66 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,3

346172,POMOČ V STREŽBI,PREČNA,5.92 €/h neto,PO DOGOVORU,PO DOGOVORU,2

346200,STREŽBA,ČRNA NA KOROŠKEM,6.00 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,

346267,STREŽBA,LJUBLJANA,8.00 €/h neto,PO DOGOVORU,IZMENSKO,2

346478,STREŽBA HRANE IN PIJAČE,BRASLOVČE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,3

346616,STREŽBA,KAMNIK,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2

346638,KLICNI CENTER,LJUBLJANA,7.00 €/h neto,PO DOGOVORU IN POTREBI,DOPOLDAN,2

346691,STREŽBA,KOMENDA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

